kum,nog,tat,lzg,agh,tab,rut,tkh,arc,lak,drgw,ava,khv,kar
29,30,31,43,48,41,42,49,59,46,47,46,52,57
28,30,29,42,46,45,42,52,58,46,44,48,56,56
30,32,30,43,49,48,44,53,56,44,46,43,53,55
29,32,30,41,46,45,37,50,60,43,44,47,51,54
30,31,31,41,50,45,43,48,57,48,47,46,51,55
29,31,31,42,48,43,43,51,60,46,45,45,51,59
29,30,31,42,48,44,42,51,59,45,46,49,51,57
31,30,31,42,47,45,43,46,53,48,47,48,52,54
31,30,29,42,48,44,44,48,60,48,45,47,50,56
30,29,30,41,49,47,41,46,60,45,46,47,53,57
