agh,ava,kum,rut,drgw,tab,lak,lzg,nog,tkh,tat,rus,arc,khv,kar
0.6357285429141717,0.6855721393034826,0.6063936063936064,0.5920398009950248,0.7144259077526988,0.701,0.5944333996023857,0.6299603174603174,0.63,0.58,0.5224022878932316,0.6347305389221557,0.6726546906187625,0.6521739130434783,0.6207584830339321
0.6127744510978044,0.694,0.6147783251231527,0.6374501992031872,0.7134328358208956,0.7033730158730159,0.6233894945490585,0.607,0.6420737786640079,0.6689930209371885,0.563872255489022,0.6353646353646354,0.6301096709870389,0.672,0.6039800995024875
0.603,0.7260956175298805,0.6349206349206349,0.6083916083916084,0.7238658777120316,0.7104477611940299,0.6258706467661691,0.6522157996146436,0.5892323030907278,0.629951690821256,0.545543584720862,0.640117994100295,0.6660019940179461,0.6676646706586826,0.6353646353646354
0.6391650099403579,0.7159880834160874,0.6312684365781711,0.6254980079681275,0.722,0.6875621890547263,0.6067864271457086,0.6125498007968128,0.6191425722831505,0.6343656343656343,0.5427435387673957,0.6027397260273972,0.632,0.6699900299102692,0.6288252714708786
0.618860510805501,0.684,0.621272365805169,0.6264940239043825,0.7193675889328063,0.6899302093718843,0.6135458167330677,0.6254863813229572,0.5988023952095808,0.6430707876370887,0.541501976284585,0.6563436563436563,0.6235059760956175,0.650542941757157,0.6323676323676324
0.5507246376811594,0.7041015625,0.6214073339940536,0.5978367748279253,0.717,0.6996007984031936,0.6232604373757455,0.6320474777448071,0.5974025974025974,0.6352824578790882,0.5258964143426295,0.6673326673326674,0.6809571286141576,0.6491053677932406,0.6506986027944112
0.5809334657398213,0.719,0.6061507936507936,0.6057312252964426,0.7049504950495049,0.6832669322709163,0.609950248756219,0.6101190476190477,0.5562130177514792,0.6483516483516484,0.5398406374501992,0.6356435643564357,0.674,0.6424302788844621,0.6373626373626373
0.6222664015904572,0.6883116883116883,0.6220472440944882,0.6171259842519685,0.7373637264618434,0.7095808383233533,0.6397205588822356,0.6420845624385447,0.6386138613861386,0.64,0.5657370517928287,0.6388349514563106,0.6716417910447762,0.5678889990089198,0.5784215784215784
0.596039603960396,0.6966067864271457,0.607707509881423,0.623015873015873,0.6971201588877854,0.6838453914767096,0.6316831683168317,0.6258706467661691,0.5818363273453094,0.5994035785288271,0.5714285714285714,0.6383616383616384,0.624,0.6144697720515362,0.6323676323676324
0.5533399800598205,0.7132867132867133,0.6325719960278053,0.5834155972359328,0.7075098814229249,0.6669970267591675,0.6248756218905472,0.6424302788844621,0.5447394296951819,0.612,0.539447731755424,0.625615763546798,0.6261216350947159,0.6683266932270916,0.6417910447761194
