['person', 7]
['ahead', 7]
['manager', 7]
['hidden', 7]
['listen', 7]
['leave', 7]
['drive', 7]
['stay', 7]
['sit', 7]
['killed', 7]
['death', 7]
['door', 7]
['divided', 7]
['possessions', 7]
['rise', 7]
['hour', 7]
['sir', 7]
['account', 6]
['myself', 6]
['carefully', 6]
['priest', 6]
['rejoice', 6]
['birth', 6]
['wisdom', 6]
['presence', 6]
['waiting', 6]
['married', 6]
['hill', 6]
['baby', 6]
['loud', 6]
['talking', 6]
['lived', 6]
['watch', 6]
['spread', 6]
['praised', 6]
['thinking', 6]
['understand', 6]
['baptised', 6]
['prison', 6]
['devil', 6]
['ate', 6]
['guard', 6]
['proclaim', 6]
['eyes', 6]
['demon', 6]
['impure', 6]
['without', 6]
['spirits', 6]
['keep', 6]
['round', 6]
['speaking', 6]
['such', 6]
['banquet', 6]
['need', 6]
['wants', 6]
['doing', 6]
['apostles', 6]
['judas', 6]
['enemies', 6]
['nor', 6]
['puts', 6]
['goes', 6]
['else', 6]
['yes', 6]
['certain', 6]
['neither', 6]
['turned', 6]
['though', 6]
['ones', 6]
['think', 6]
['pigs', 6]
['return', 6]
['welcomed', 6]
['except', 6]
['road', 6]
['field', 6]
['beat', 6]
['build', 6]
['blood', 6]
['owner', 6]
['repent', 6]
['died', 6]
['lost', 6]
['city', 6]
['taught', 5]
['chosen', 5]
['born', 5]
['prepared', 5]
['favour', 5]
['age', 5]
['fail', 5]
['neighbours', 5]
['relatives', 5]
['mercy', 5]
['grew', 5]
['wilderness', 5]
['living', 5]
['around', 5]
['courts', 5]
['spoken', 5]
['marriage', 5]
['thanks', 5]
['year', 5]
['tetrarch', 5]
['cut', 5]
['collectors', 5]
['soldiers', 5]
['pay', 5]
['worthy', 5]
['live', 5]
['alone', 5]
['throw', 5]
['finished', 5]
['leprosy', 5]
['help', 5]
['tried', 5]
['leaving', 5]
['lake', 5]
['boat', 5]
['hard', 5]
['companions', 5]
['begged', 5]
['clean', 5]
['ordered', 5]
['testimony', 5]
['prayed', 5]
['ill', 5]
['front', 5]
['friend', 5]
['walk', 5]
['collector', 5]
['drinking', 5]
['poured', 5]
['hate', 5]
['takes', 5]
['expect', 5]
['elders', 5]
['consider', 5]
['receive', 5]
['dressed', 5]
['greater', 5]
['experts', 5]
['sinner', 5]
['saved', 5]
['lamp', 5]
['suffer', 5]
['loses', 5]
['cloud', 5]
['welcomes', 5]
['harvest', 5]
['satan', 5]
['knows', 5]
['inside', 5]
['says', 5]
['cup', 5]
['justice', 5]
['between', 5]
['worry', 5]
['charge', 5]
['resurrection', 5]
['lazarus', 5]
['handed', 4]
['mind', 4]
['beginning', 4]
['lot', 4]
['custom', 4]
['burning', 4]
['bear', 4]
['appointed', 4]
['meanwhile', 4]
['wondering', 4]
['stayed', 4]
['signs', 4]
['kind', 4]
['ever', 4]
['end', 4]
['ears', 4]
['free', 4]
['throughout', 4]
['asking', 4]
['strong', 4]
['expecting', 4]
['room', 4]
['shepherds', 4]
['keeping', 4]
['cause', 4]
['lying', 4]
['suddenly', 4]
