['власть', 6]
['своему', 6]
['встал', 6]
['пророк', 6]
['бесы', 6]
['настал', 6]
['симон', 6]
['руку', 6]
['прикоснулся', 6]
['перед', 6]
['твои', 6]
['кроме', 6]
['ваших', 6]
['сказать', 6]
['встань', 6]
['иди', 6]
['придут', 6]
['ели', 6]
['месте', 6]
['небесах', 6]
['одежду', 6]
['какая', 6]
['под', 6]
['исцелил', 6]
['скажите', 6]
['тех', 6]
['вера', 6]
['другие', 6]
['царствия', 6]
['видеть', 6]
['идти', 6]
['имение', 6]
['мертвых', 6]
['буду', 6]
['селение', 6]
['сколько', 6]
['братьев', 6]
['бывшие', 5]
['захария', 5]
['храм', 5]
['бойся', 5]
['чему', 5]
['моя', 5]
['дня', 5]
['поняли', 5]
['называемый', 5]
['слов', 5]
['всевышнего', 5]
['даст', 5]
['святый', 5]
['господня', 5]
['нее', 5]
['плод', 5]
['откуда', 5]
['милость', 5]
['силу', 5]
['века', 5]
['нею', 5]
['младенца', 5]
['хотел', 5]
['стране', 5]
['наших', 5]
['служить', 5]
['лицем', 5]
['которым', 5]
['путь', 5]
['мира', 5]
['давидов', 5]
['пастухи', 5]
['бойтесь', 5]
['рассказали', 5]
['двух', 5]
['взял', 5]
['благословил', 5]
['дочь', 5]
['вдова', 5]
['год', 5]
['искать', 5]
['через', 5]
['три', 5]
['посреди', 5]
['человеков', 5]
['проходил', 5]
['дай', 5]
['темницу', 5]
['иосифов', 5]
['диавол', 5]
['сатана', 5]
['одной', 5]
['только', 5]
['запретил', 5]
['просили', 5]
['искал', 5]
['симону', 5]
['великое', 5]
['рыбы', 5]
['повелел', 5]
['никому', 5]
['моисей', 5]
['болезней', 5]
['иисусом', 5]
['твою', 5]
['других', 5]
['вино', 5]
['молитесь', 5]
['ваш', 5]
['говорят', 5]
['имея', 5]
['приходит', 5]
['возвратившись', 5]
['приблизился', 5]
['отдал', 5]
['призвав', 5]
['пойдите', 5]
['царствии', 5]
['божием', 5]
['ног', 5]
['головы', 5]
['фарисей', 5]
['мало', 5]
['женщины', 5]
['вышли', 5]
['дороге', 5]
['уши', 5]
['дано', 5]
['радостью', 5]
['вошли', 5]
['шел', 5]
['крови', 5]
['говоришь', 5]
['воскрес', 5]
['хочет', 5]
['оно', 5]
['сему', 5]
['видите', 5]
['мимо', 5]
['нужно', 5]
['знамения', 5]
['тела', 5]
['хотя', 5]
['сегодня', 5]
['увидите', 5]
['скорее', 5]
['царь', 5]
['вместе', 5]
['мин', 5]
['господень', 4]
['вне', 4]
['явился', 4]
['сторону', 4]
['послан', 4]
['назарет', 4]
['чреве', 4]
['сыном', 4]
['посему', 4]
['иудин', 4]
['благословен', 4]
['совершится', 4]
['рабы', 4]
['отныне', 4]
['отпустил', 4]
['никого', 4]
['сим', 4]
['этом', 4]
['слышавшие', 4]
['рука', 4]
['дому', 4]
['жизни', 4]
['спасение', 4]
['женою', 4]
['положила', 4]
['места', 4]
['свет', 4]
['израиле', 4]
['помышления', 4]
['ходили', 4]
['двенадцати', 4]
['найдя', 4]
['сидящего', 4]
['искали', 4]
['иудее', 4]
['глас', 4]
['всякое', 4]
['огонь', 4]
['недостоин', 4]
['брата', 4]
['всему', 4]
['небес', 4]
['эти', 4]
['этому', 4]
['гору', 4]
['всеми', 4]
['одному', 4]
['поставил', 4]
['искушение', 4]
['синагогах', 4]
['илия', 4]
['повели', 4]
['горы', 4]
['которой', 4]
['бес', 4]
['больных', 4]
['лодки', 4]
['этого', 4]
['последовали', 4]
['пал', 4]
['пойти', 4]
['веру', 4]
['прощаются', 4]
['возьми', 4]
['быв', 4]
['следуй', 4]
['отнимется', 4]
['молодого', 4]
['мехи', 4]
['лучше', 4]
['фарисеев', 4]
['зная', 4]
['добро', 4]
['духов', 4]
['хорошо', 4]
['любите', 4]
['всякому', 4]
['назад', 4]
['грешники', 4]
['делают', 4]
['взаймы', 4]
['добрый', 4]
['камне', 4]
['без', 4]
['наш', 4]
['друзей', 4]
['пойди', 4]
['шли', 4]
['такое', 4]
['блажен', 4]
['друга', 4]
['пищи', 4]
['знал', 4]
['имели', 4]
['спасла', 4]
['иное', 4]
['упало', 4]
['небесные', 4]
['слышать', 4]
['спросили', 4]
['упавшее', 4]
['могли', 4]
['народом', 4]
['умерла', 4]
['петра', 4]
['примут', 4]
['сделали', 4]
['одно', 4]
['пострадать', 4]
['потеряет', 4]
['моих', 4]
['слове', 4]
['знает', 4]
['пророки', 4]
['некоторый', 4]
['осла', 4]
['марфа', 4]
['часть', 4]
['хлеб', 4]
['прости', 4]
['подаст', 4]
['изгоняю', 4]
['сами', 4]
['отвечать', 4]
['имения', 4]
['посмотрите', 4]
['станет', 4]
['думаете', 4]
['желал', 4]
['двое', 4]
['авраама', 4]
['раз', 4]
['садись', 4]
['получил', 4]
['первый', 4]
['умер', 4]
['вдали', 4]
['надлежит', 4]
['очень', 4]
['отвечали', 4]
['виноградника', 4]
['пасху', 4]
['смерть', 4]
['узнал', 3]
['основание', 3]
['котором', 3]
['оба', 3]
['однажды', 3]
['стоя', 3]
['страх', 3]
['радость', 3]
['велик', 3]
['вина', 3]
['сынов', 3]
['илии', 3]
['детям', 3]
['дабы', 3]
['мог', 3]
['месяцев', 3]
['говорила', 3]
['людьми', 3]
['женами', 3]
['домом', 3]
['мужа', 3]
['сила', 3]
['божиим', 3]
['слову', 3]
['отошел', 3]
['страну', 3]
['захарии', 3]
['голос', 3]
['приветствия', 3]
['моем', 3]
['душа', 3]
['сильный', 3]
['израиля', 3]
['отрока', 3]
['аврааму', 3]
['около', 3]
['мать', 3]
['спрашивали', 3]
['удивились', 3]
['уста', 3]
['живущих', 3]
['рассказывали', 3]
['посетил', 3]
['бывших', 3]
['приготовить', 3]
['грехов', 3]
['наши', 3]
['эта', 3]
['иосиф', 3]
['той', 3]
['стражу', 3]
['вдруг', 3]
['слава', 3]
['знак', 3]
['найдете', 3]
['внезапно', 3]
['благоволение', 3]
['другу', 3]
['славя', 3]
['прошествии', 3]
['дали', 3]
['принесли', 3]
['законе', 3]
['родители', 3]
['совершить', 3]
['очи', 3]
['лежит', 3]
['тут', 3]
['храма', 3]
['праздник', 3]
['остался', 3]
['думали', 3]
['великою', 3]
['четвертовластником', 3]
['галилее', 3]
['иоанну', 3]
