['bilakːu', 166]
['cira', 165]
['ʁuršal', 165]
['admiqale', 165]
['ʡa̰kne', 164]
['elgunda', 164]
['waˤčːu', 164]
['a̰nar', 164]
['budi', 163]
['bičːible', 162]
["k'aˤmarka", 162]
['iχtːe', 161]
["ruq'ijat", 161]
['qːṵčː', 161]
['baʡan', 159]
['baˤkːurre', 158]
['dukane', 158]
['waxle', 156]
['arganar', 156]
['cibuχarra', 155]
['tːura', 154]
['qallaˤne', 154]
['daršː', 154]
['kalazil', 154]
['bijal', 154]
['iχe', 153]
['ši', 153]
['aˤburχar', 153]
['ijar', 152]
['ige', 152]
['durχade', 152]
['duχubze', 150]
['ħa̰sːe', 150]
['rekːal', 150]
['šːala', 150]
['čuj', 149]
['čebže', 149]
["rebč'ible", 148]
['datːili', 148]
['durχande', 148]
['cile', 147]
['ʡumar', 147]
['nik', 146]
['tudasʲuda', 146]
['urče', 146]
['χažat', 146]
['taˤkan', 145]
['dišːu', 145]
['čaqale', 145]
['cere', 145]
['3', 145]
['baše', 145]
['jaˤce', 144]
['durχuble', 144]
['dawʡali', 144]
['baxle', 143]
['xura', 143]
['daˤkːu', 143]
["bik'ande", 143]
['macːala', 142]
['cukːle', 142]
['cizi', 142]
['kolχuzla', 142]
['bacː', 141]
['nig', 141]
['datːile', 141]
['šːicːirka', 141]
["rač'ib", 140]
['žihilze', 140]
['χoma', 139]
['acːaj', 139]
['jaˤmarka', 139]
['rusːila', 139]
['iχtːu', 139]
["k'oma", 138]
['aˤdurχe', 138]
["darq'ibda", 137]
["warq'ible", 137]
['care', 137]
['ruχubda', 137]
["nuq'un", 137]
['sabsin', 136]
['no', 136]
['buχːuj', 136]
["rucːiq'ar", 136]
['bucuble', 135]
['galli', 135]
["q'ʷa̰l", 135]
['uχub', 135]
['iχila', 135]
['sirawnu', 134]
['bule', 134]
["datːiq'arra", 134]
['ʡare', 134]
['qːuruš', 134]
['barχle', 133]
['birqle', 133]
['šinni', 133]
['ba̰ħi', 133]
['lugle', 132]
['xadila', 132]
['ʡa̰šːe', 132]
['ibsːaħ', 131]
['da̰rqːible', 130]
['nušːi', 129]
['da̰wʡili', 129]
['buχːu', 129]
['qːuža', 129]
['na̰qː', 128]
['jara', 127]
['kalarka', 127]
['taˤtila', 126]
['nišle', 126]
['aˤburχe', 126]
['ba̰rqːible', 125]
['taˤmajtːe', 124]
['debga', 124]
['jerčible', 124]
['dičːible', 124]
['akːuze', 124]
['aˤtː', 123]
['ʡasan', 123]
['carasːaħ', 123]
['taˤti', 122]
['hajtːe', 121]
['admira', 120]
['laˤli', 120]
['še', 120]
['kumag', 120]
['samatːirka', 120]
['pirmali', 120]
['čazil', 120]
['čuqa', 120]
['da̰qa̰la', 119]
['ħa̰že', 119]
['bahlale', 118]
['itːira', 118]
['cali', 118]
['datːira', 118]
['butunra', 118]
['qːistaban', 118]
['taˤte', 118]
['harasːible', 118]
['bač', 118]
["buk'ande", 118]
["k'aˤmajtːe", 117]
["q'anne", 117]
['uze', 116]
['akːurrarka', 116]
['qume', 116]
['dilejkːande', 116]
['haqːible', 115]
['rarq', 115]
['galle', 115]
['duχile', 115]
['nusːe', 115]
['tolʲko', 115]
['butunnira', 115]
['lugi', 115]
['durχar', 114]
["ruk'ud", 114]
['nuxːa', 114]
['baqi', 114]
['ħajwane', 114]
["darq'ib", 113]
['hitːille', 113]
['laˤmarka', 113]
['da̰wʡe', 113]
['buχːule', 112]
["q'ar", 112]
["šiq'anna", 112]
["ħa̰q'le", 112]
['raše', 111]
['ʡa̰č', 111]
['bursub', 111]
['ʡa̰χː', 111]
['masala', 111]
['haban', 110]
['χːʷalħal', 110]
['babajra', 110]
["q'ajre", 110]
['gane', 110]
["nik'aknira", 110]
["bic'ible", 110]
["dač'ible", 109]
['iχi', 108]
['raqible', 108]
['risːle', 108]
['qaʁar', 107]
['bursidaj', 107]
["bek'", 107]
['babajli', 107]
['bek', 106]
['bikːana', 106]
['baˤne', 106]
['arganda', 106]
['kːarcːe', 106]
['daxle', 105]
['ʡusen', 105]
['carʁa', 105]
['ruze', 105]
['aa', 105]
['kaspijskːli', 104]
['wale', 104]
['raxade', 104]
['raxle', 104]
['jaˤkan', 103]
['čerkbible', 103]
['usːaħ', 103]
['cejra', 103]
['imitaj', 103]
["dirq'ade", 103]
["q'ṵle", 103]
['nusːara', 103]
['laˤra', 102]
['elgunne', 102]
['jaqible', 102]
['nara', 102]
['baqib', 102]
['šːilimatːe', 102]
['hane', 102]
['asːi', 102]
['insanaj', 102]
['akːurre', 101]
['daud', 101]
["murtk'al", 101]
['dawaj', 101]
['idaj', 101]
['cajra', 101]
['qa̰q', 101]
['rerčible', 101]
['ač', 101]
['urχːab', 101]
["bik'le", 100]
['haqːi', 100]
["č'amad", 100]
['ʡa̰čli', 100]
['sadaħ', 100]
['tipːiʁa', 99]
['toma', 99]
['bilejkːande', 99]
['qːa̰čːe', 99]
["buk'ari", 98]
["buk'ar", 98]
['cama', 98]
['dawʡa', 98]
['daxaja', 98]
['pikre', 98]
["ik'tːu", 97]
["wač'ibsːaħ", 97]
['arwarčible', 97]
["ziq'ajdab", 97]
['caj', 97]
['dičːib', 97]
['bahnadan', 97]
['nawerno', 97]
["ucːiq'arra", 96]
['cize', 96]
['ruχub', 96]
['saqːible', 96]
['bičːib', 96]
['ʁamkane', 96]
["dač'ibda", 96]
['ħa̰q', 96]
["barq'ibze", 96]
['saʡat', 95]
['raˤčːu', 95]
['waj', 95]
['prosto', 95]
['aˤbuχub', 94]
['sibtːala', 94]
['bijali', 94]
['hegitːe', 94]
['cerira', 94]
['tože', 94]
['busat', 93]
['purmale', 93]
['daqibda', 93]
["ik'", 93]
['urč', 93]
['berčible', 93]
['ruda', 92]
["tusnaq'li", 92]
['qu', 92]
['ištːu', 92]
["bek'ral", 91]
['insanad', 91]
['duda', 91]
['acːajla', 90]
['laˤle', 90]
['rule', 90]
['admila', 90]
['hanara', 90]
['iχtːala', 90]
['buχarra', 89]
['luqi', 89]
['rusːaħ', 89]
['admile', 89]
['mura', 89]
['dač', 89]
['dirqle', 88]
['ža̰le', 88]
["qa̰q'le", 88]
['daˤne', 88]
['dusːaħ', 88]
['marz', 88]
['jaħja', 88]
["aʁʷc'nu", 88]
['časːible', 87]
['kak', 87]
['xːune', 87]
['birqande', 87]
['qːatːa', 86]
["č'ʷaliban", 86]
["dirq'anze", 86]
['rabdan', 86]
["q'uran", 86]
['insanala', 86]
['kːurtːe', 86]
['rabazan', 85]
["barq'idaj", 85]
['kulake', 85]
['cadaħ', 85]
['dusːli', 85]
['admili', 85]
['rijalde', 85]
['postojanno', 85]
['ba̰lle', 84]
["rač'ibda", 84]
['dusːre', 84]
['waše', 84]
['wah', 84]
['čaqʷ', 84]
['haburχle', 84]
['urχːane', 84]
['badir', 83]
["daħc'ba", 83]
['dicːille', 83]
['aˤbuχar', 83]
['nisːija', 83]
["c'ubze", 83]
['mamma', 83]
['ziriz', 82]
['maħmadla', 82]
['ʡa̰bra', 82]
['daqi', 82]
['laˤlila', 82]
["nik'aknaj", 82]
['hagitːe', 82]
['ʡa̰šːne', 82]
['ʡa̰baliban', 81]
["q'urban", 81]
['markːli', 81]
['dusːraj', 81]
["belk'unne", 81]
["duc'", 81]
['urχle', 81]
['ik', 81]
['zaħmatle', 81]
["durk'ade", 81]
['dṵrqa̰', 81]
['busːaħ', 80]
["dač'ib", 80]
["č'ura", 80]
['dudi', 80]
['laqit', 80]
['akːuj', 79]
['hararkala', 79]
['nixːi', 79]
['uhu', 79]
['ʡa̰barra', 79]
["birq'ana", 79]
['rerčibda', 79]
['rusːili', 79]
['haramatːe', 78]
['daˤkːurre', 78]
['bijalde', 78]
['rusːile', 78]
['zardah', 78]
['icːle', 78]
['nasredin', 78]
['macːara', 78]
['maxtawla', 78]
['qːasin', 78]
['net', 78]
['burχlakːu', 78]
['tak', 78]
["č'ujna", 77]
["sa̰q'le", 77]
['počti', 77]
['arče', 77]
["nik'elra", 77]
['kulpat', 77]
['ilra', 77]
["bač'ibsːaħ", 77]
["χalq'", 77]
['nikːa', 77]
["birq'ade", 77]
['habaχi', 77]
['barcːe', 76]
["c'atːar", 76]
["učit'el", 76]
['ʡa̰qunne', 76]
['karasa', 76]
['zaħmatze', 76]
['čebžira', 76]
['ikːana', 76]
['ma', 76]
['taˤtːala', 76]
['dig', 76]
["t'ut", 76]
['dilakːu', 76]
["dic'ible", 76]
['ʡa̰nčːija', 76]
['habaχe', 75]
['t', 75]
['qalla', 75]
['raqibda', 75]
['bolʲnicːali', 75]
['kːa̰ʡa̰l', 75]
['nerχː', 75]
["učit'ele", 75]
['hegize', 75]
['itira', 75]
['bikːar', 75]
['čerkeble', 74]
["šilak'al", 74]
["q'uj", 74]
['cabaħ', 74]
["rarq'ib", 74]
["darq'ibze", 74]
["pat'imat", 74]
['jaˤmajtːe', 74]
['ducuble', 74]
['dule', 74]
['xarʁnila', 74]
["aʁʷc'ale", 73]
['buχab', 73]
['čarʁurdi', 73]
["birq'andi", 73]
['ba̰qible', 73]
['macːne', 73]
['zile', 73]
["q'ut", 73]
["q'ut'", 73]
['arbarčible', 73]
['berčʷi', 73]
['lakːle', 73]
['duj', 72]
['a̰q', 72]
['ucːila', 72]
['šːilili', 72]
["rucːiq'arra", 72]
['mit', 72]
["k'ant'", 72]
['bizar', 72]
["rirq'le", 72]
['šːillirka', 72]
['asːible', 72]
['ʁamze', 71]
['ačːuj', 71]
['diqːande', 71]
['buzib', 71]
['kakraz', 70]
['amma', 70]
['qːirʁizli', 70]
['ʁa̰baj', 70]
['laˤtːira', 70]
['gužlaze', 70]
['qaqːible', 70]
['ʡa̰šːidixːli', 70]
['musːne', 70]
['duχublide', 70]
['dem', 70]
['rajonni', 70]
["ʡa̰bc'nu", 70]
['bikːandi', 69]
['maħmadle', 69]
['hu', 69]
['žuz', 69]
['nišla', 69]
['habaχurre', 69]
['ba̰lli', 69]
['dicːira', 69]
['čarʁurda', 69]
['na̰qːa̰', 68]
['macːališːu', 68]
['χːṵl', 68]
['ʁajal', 68]
["buk'ana", 68]
['darine', 68]
['dijarkːadixːli', 68]
["cik'alra", 68]
['kebišːible', 68]
['deduškːa', 68]
['bukle', 68]
['burχlačːu', 68]
['a̰rq', 68]
['bikːannarka', 68]
['čerkrible', 68]
['butːaj', 68]
['dijal', 68]
['tːupang', 67]
['uχubda', 67]
['bilejčːe', 67]
['xadili', 67]
['qalbaˤne', 67]
['ištːala', 67]
['ʁuršalli', 67]
['musːarka', 67]
['kːa', 67]
['bartlačːu', 67]
['nikːne', 67]
['cːadad', 67]
["datːiq'arre", 67]
['itišːu', 67]
['da̰wʡilicːe', 67]
['itːurka', 66]
['xːunaˤne', 66]
['duχubsːaħ', 66]
['buχːulačːu', 66]
["χaliq'", 66]
["arč'amal", 66]
['ʡumre', 66]
['saʁle', 66]
['insanni', 66]
['waʡan', 65]
["xuc'ale", 65]
['tima', 65]
['dursa', 65]
["bebč'ible", 65]
['murt', 65]
['uncːa', 65]
['jaqibda', 65]
['babuškːa', 65]
['igar', 65]
['aˤj', 65]
['biqːande', 65]
['duhar', 65]
['hačible', 65]
['da̰ħi', 65]
['bič', 65]
['dṵrqle', 65]
["q'arra", 65]
['daršːlib', 64]
['hatːaqible', 64]
['arcra', 64]
['rurχle', 64]
["cik'le", 64]
['buχublarka', 64]
['ʡajša', 64]
['agurze', 64]
['rusːbira', 64]
['pirma', 64]
['laˤtːala', 64]
['aˤrč', 63]
['zarple', 63]
['jaqib', 63]
['ʡajšat', 63]
['saqːa', 63]
["barq'iban", 63]
['cale', 63]
['rikːana', 63]
['rurχade', 63]
['mašnaje', 63]
['tam', 63]
['udi', 62]
['burχari', 62]
['raˤkːu', 62]
['armijalirka', 62]
['duχːule', 62]
['nisːišːu', 62]
["durk'uj", 62]
['bursande', 62]
['ule', 62]
