['мимо', 9]
['дочь', 9]
['бале', 9]
['вагон', 9]
['бал', 9]
['друга', 8]
['жить', 8]
['дети', 8]
['наконец', 8]
['увидал', 8]
['женщина', 8]
['детьми', 8]
['видно', 8]
['взглянул', 8]
['головой', 8]
['смеясь', 8]
['голос', 8]
['кататься', 8]
['обратился', 8]
['чувствуя', 8]
['мало', 8]
['удовольствие', 8]
['волос', 8]
['грудь', 8]
['остановился', 8]
['однако', 8]
['прошел', 8]
['три', 8]
['минуты', 8]
['губы', 8]
['одну', 8]
['возможно', 8]
['ужас', 8]
['анны', 8]
['начала', 8]
['разговора', 8]
['одного', 8]
['поспешно', 8]
['начал', 8]
['вниз', 8]
['москву', 8]
['особенности', 8]
['дмитрич', 8]
['можешь', 8]
['которых', 8]
['этих', 8]
['мое', 8]
['впечатление', 8]
['господи', 8]
['татарин', 8]
['непременно', 8]
['пойми', 8]
['вронскому', 8]
['анну', 8]
['анне', 8]
['корсунский', 8]
['семьи', 7]
['вспоминая', 7]
['женщины', 7]
['заметив', 7]
['вспомнил', 7]
['положения', 7]
['простить', 7]
['б', 7]
['должна', 7]
['хуже', 7]
['дня', 7]
['которым', 7]
['взгляд', 7]
['понял', 7]
['прочел', 7]
['богу', 7]
['комнату', 7]
['дверь', 7]
['точно', 7]
['действительно', 7]
['понимал', 7]
['встал', 7]
['что-нибудь', 7]
['девочка', 7]
['мама', 7]
['вздохнул', 7]
['покраснела', 7]
['забыл', 7]
['невозможно', 7]
['любить', 7]
['стараясь', 7]
['которому', 7]
['счастлив', 7]
['боже', 7]
['сделала', 7]
['зная', 7]
['любит', 7]
['моего', 7]
['пошел', 7]
['какой', 7]
['крикнул', 7]
['другого', 7]
['кабинет', 7]
['каким', 7]
['говорю', 7]
['хотелось', 7]
['очевидно', 7]
['странно', 7]
['хочешь', 7]
['коньках', 7]
['вспомнив', 7]
['дом', 7]
['имеет', 7]
['жениться', 7]
['николай', 7]
['ехать', 7]
['дамы', 7]
['устрицы', 7]
['хочу', 7]
['сила', 7]
['княгине', 7]
['помилуй', 7]
['узнала', 6]
['мужу', 6]
['одном', 6]
['третий', 6]
['собой', 6]
['всему', 6]
['часов', 6]
['полное', 6]
['тело', 6]
['надолго', 6]
['сел', 6]
['задумался', 6]
['много', 6]
['старой', 6]
['указывая', 6]
['самое', 6]
['слов', 6]
