Volume,TTR,Language
tom1,0.5592885375494071,kum-folklore
tom1,0.5566600397614314,kum-folklore
tom1,0.5198807157057654,kum-folklore
tom1,0.5358565737051793,kum-folklore
tom1,0.5634365634365635,kum-folklore
tom1,0.5413758723828515,kum-folklore
tom1,0.5196850393700787,kum-folklore
tom1,0.525844930417495,kum-folklore
tom1,0.5405138339920948,kum-folklore
tom1,0.501996007984032,kum-folklore
tom1,0.5398406374501992,kum-folklore
tom1,0.563,kum-folklore
tom1,0.558,kum-folklore
tom1,0.5960199004975124,kum-folklore
tom1,0.5302879841112215,kum-folklore
tom1,0.532,kum-folklore
tom1,0.5373878364905285,kum-folklore
tom1,0.5418250950570342,kum-folklore
tom1,0.5164506480558325,kum-folklore
tom1,0.5537848605577689,kum-folklore
tom1,0.5244267198404786,kum-folklore
tom1,0.567,kum-folklore
tom1,0.5292949354518371,kum-folklore
tom1,0.5572139303482587,kum-folklore
tom1,0.551345962113659,kum-folklore
tom1,0.5522388059701493,kum-folklore
tom1,0.5119521912350598,kum-folklore
tom1,0.5301681503461919,kum-folklore
tom1,0.5396825396825397,kum-folklore
tom1,0.558300395256917,kum-folklore
tom1,0.5339321357285429,kum-folklore
tom1,0.49201596806387227,kum-folklore
tom1,0.5342465753424658,kum-folklore
tom1,0.5118811881188119,kum-folklore
tom1,0.5394605394605395,kum-folklore
tom1,0.530938123752495,kum-folklore
tom1,0.545273631840796,kum-folklore
tom1,0.5574257425742575,kum-folklore
tom1,0.5503952569169961,kum-folklore
tom1,0.5630585898709036,kum-folklore
tom1,0.543369890329013,kum-folklore
tom1,0.591816367265469,kum-folklore
tom1,0.5163528245787908,kum-folklore
tom1,0.5335968379446641,kum-folklore
tom1,0.5499021526418787,kum-folklore
tom1,0.5470588235294118,kum-folklore
tom1,0.5318940137389597,kum-folklore
tom1,0.5343968095712861,kum-folklore
tom1,0.5074037512339585,kum-folklore
tom1,0.5227272727272727,kum-folklore
tom1,0.5538922155688623,kum-folklore
tom1,0.5308764940239044,kum-folklore
tom1,0.5263681592039801,kum-folklore
tom1,0.5557768924302788,kum-folklore
tom1,0.554368932038835,kum-folklore
tom1,0.562685093780849,kum-folklore
tom1,0.49,kum-folklore
tom1,0.5406746031746031,kum-folklore
tom1,0.518664047151277,kum-folklore
tom1,0.5519287833827893,kum-folklore
tom1,0.5512437810945273,kum-folklore
tom1,0.5207100591715976,kum-folklore
tom1,0.5308764940239044,kum-folklore
tom1,0.522,kum-folklore
tom1,0.5171736997055937,kum-folklore
tom1,0.5532338308457712,kum-folklore
tom1,0.56071076011846,kum-folklore
tom1,0.5449101796407185,kum-folklore
tom1,0.5658682634730539,kum-folklore
tom1,0.5571002979145978,kum-folklore
tom1,0.5048828125,kum-folklore
tom1,0.5393700787401575,kum-folklore
tom1,0.5123639960435212,kum-folklore
tom1,0.5207509881422925,kum-folklore
tom1,0.5421209117938554,kum-folklore
tom1,0.5417495029821073,kum-folklore
tom1,0.5504495504495505,kum-folklore
tom1,0.5500495540138751,kum-folklore
tom1,0.5499001996007984,kum-folklore
tom1,0.5523429710867398,kum-folklore
tom1,0.576961271102284,kum-folklore
tom1,0.5146771037181996,kum-folklore
tom1,0.5499001996007984,kum-folklore
tom1,0.5313725490196078,kum-folklore
tom1,0.5154536390827518,kum-folklore
tom1,0.5565476190476191,kum-folklore
tom1,0.499,kum-folklore
tom1,0.5474525474525475,kum-folklore
tom1,0.5158730158730159,kum-folklore
tom1,0.562624254473161,kum-folklore
tom1,0.528,kum-folklore
tom1,0.5556660039761432,kum-folklore
tom1,0.4945382323733863,kum-folklore
tom1,0.5353233830845772,kum-folklore
tom1,0.5389221556886228,kum-folklore
tom1,0.5293532338308458,kum-folklore
tom1,0.543,kum-folklore
tom1,0.5281899109792285,kum-folklore
tom1,0.5474525474525475,kum-folklore
tom1,0.5313432835820896,kum-folklore
tom1,0.5264207377866401,kum-folklore
tom1,0.572,kum-folklore
tom1,0.5510805500982319,kum-folklore
tom1,0.563872255489022,kum-folklore
tom1,0.533,kum-folklore
tom1,0.5615234375,kum-folklore
tom1,0.5335276967930029,kum-folklore
tom1,0.5528942115768463,kum-folklore
tom1,0.5204386839481555,kum-folklore
tom1,0.5446428571428571,kum-folklore
tom1,0.5576540755467196,kum-folklore
tom1,0.5381565906838454,kum-folklore
tom1,0.5387673956262425,kum-folklore
tom1,0.542,kum-folklore
tom1,0.5613861386138614,kum-folklore
tom1,0.5613160518444666,kum-folklore
tom1,0.5335968379446641,kum-folklore
tom1,0.544,kum-folklore
tom1,0.5244755244755245,kum-folklore
tom1,0.5329341317365269,kum-folklore
tom1,0.521,kum-folklore
tom1,0.552,kum-folklore
tom1,0.547,kum-folklore
tom1,0.5825049701789264,kum-folklore
tom1,0.564,kum-folklore
tom1,0.52324431256182,kum-folklore
tom1,0.516320474777448,kum-folklore
tom1,0.5324027916251246,kum-folklore
tom1,0.5557768924302788,kum-folklore
tom1,0.49750747756729813,kum-folklore
tom1,0.519,kum-folklore
tom1,0.5491559086395233,kum-folklore
tom1,0.536779324055666,kum-folklore
tom1,0.5792622133599202,kum-folklore
tom1,0.551345962113659,kum-folklore
tom1,0.5216962524654832,kum-folklore
tom1,0.5358565737051793,kum-folklore
tom1,0.516798418972332,kum-folklore
tom1,0.5183349851337958,kum-folklore
tom1,0.5742771684945165,kum-folklore
tom1,0.5598802395209581,kum-folklore
tom1,0.5463609172482552,kum-folklore
tom1,0.533,kum-folklore
tom1,0.5342601787487586,kum-folklore
tom1,0.522343594836147,kum-folklore
tom1,0.522432701894317,kum-folklore
tom1,0.5183714001986097,kum-folklore
tom1,0.4965312190287413,kum-folklore
tom1,0.5531281032770605,kum-folklore
tom1,0.54,kum-folklore
tom1,0.5380811078140455,kum-folklore
tom1,0.5059760956175299,kum-folklore
tom1,0.5439121756487026,kum-folklore
tom1,0.5034825870646766,kum-folklore
tom1,0.539,kum-folklore
tom1,0.5208747514910537,kum-folklore
tom1,0.5311572700296736,kum-folklore
tom1,0.5396825396825397,kum-folklore
tom1,0.5522388059701493,kum-folklore
tom1,0.5572139303482587,kum-folklore
tom1,0.5597609561752988,kum-folklore
tom1,0.5401387512388504,kum-folklore
tom1,0.5928853754940712,kum-folklore
tom1,0.5462686567164179,kum-folklore
tom1,0.5134328358208955,kum-folklore
tom1,0.5149105367793241,kum-folklore
tom1,0.5438247011952191,kum-folklore
tom1,0.5104685942173479,kum-folklore
tom1,0.5143992055610725,kum-folklore
tom1,0.5342601787487586,kum-folklore
tom1,0.5283582089552239,kum-folklore
tom1,0.5378486055776892,kum-folklore
tom1,0.555,kum-folklore
tom1,0.5378486055776892,kum-folklore
tom1,0.5283582089552239,kum-folklore
tom1,0.5518962075848304,kum-folklore
tom1,0.5234765234765235,kum-folklore
tom1,0.5439121756487026,kum-folklore
tom1,0.5154228855721393,kum-folklore
tom1,0.5168986083499006,kum-folklore
tom1,0.5228174603174603,kum-folklore
tom1,0.522343594836147,kum-folklore
tom1,0.528,kum-folklore
tom1,0.566,kum-folklore
tom1,0.522343594836147,kum-folklore
tom1,0.5361744301288405,kum-folklore
tom1,0.5463510848126233,kum-folklore
tom1,0.5343968095712861,kum-folklore
tom1,0.559322033898305,kum-folklore
tom1,0.5198412698412699,kum-folklore
tom1,0.542,kum-folklore
tom1,0.5494505494505495,kum-folklore
tom1,0.5607569721115537,kum-folklore
tom1,0.5471698113207547,kum-folklore
tom1,0.5355731225296443,kum-folklore
tom1,0.5349301397205589,kum-folklore
tom1,0.5573280159521435,kum-folklore
tom1,0.541,kum-folklore
tom1,0.5747011952191236,kum-folklore
tom1,0.5325443786982249,kum-folklore
tom1,0.5649606299212598,kum-folklore
tom1,0.5462686567164179,kum-folklore
tom1,0.5429417571569596,kum-folklore
tom1,0.535819430814524,kum-folklore
tom1,0.5499001996007984,kum-folklore
tom1,0.5208940719144801,kum-folklore
tom1,0.549,kum-folklore
tom1,0.5124626121635095,kum-folklore
tom1,0.5461767626613704,kum-folklore
tom1,0.5339321357285429,kum-folklore
tom1,0.569,kum-folklore
tom1,0.5380811078140455,kum-folklore
tom1,0.5597609561752988,kum-folklore
tom1,0.5460852329038652,kum-folklore
tom1,0.5654345654345654,kum-folklore
tom1,0.5587649402390438,kum-folklore
tom1,0.5704295704295704,kum-folklore
tom1,0.5612648221343873,kum-folklore
tom1,0.5247524752475248,kum-folklore
tom1,0.5386904761904762,kum-folklore
tom1,0.522343594836147,kum-folklore
tom1,0.525,kum-folklore
tom1,0.5356793743890518,kum-folklore
tom1,0.548162859980139,kum-folklore
tom1,0.5507389162561577,kum-folklore
tom1,0.559,kum-folklore
tom1,0.5486111111111112,kum-folklore
tom1,0.5337972166998012,kum-folklore
tom1,0.5316831683168317,kum-folklore
tom1,0.5314685314685315,kum-folklore
tom1,0.5547877591312932,kum-folklore
tom1,0.5390702274975272,kum-folklore
tom1,0.5322740814299901,kum-folklore
tom1,0.5510406342913776,kum-folklore
tom1,0.533,kum-folklore
tom1,0.5259481037924152,kum-folklore
tom1,0.5133795837462835,kum-folklore
tom1,0.5394605394605395,kum-folklore
tom1,0.5419161676646707,kum-folklore
tom1,0.53,kum-folklore
tom1,0.538,kum-folklore
tom1,0.5284147557328016,kum-folklore
tom1,0.5373134328358209,kum-folklore
tom1,0.5338645418326693,kum-folklore
tom1,0.5522388059701493,kum-folklore
tom1,0.5364635364635365,kum-folklore
tom1,0.545,kum-folklore
tom1,0.518444666001994,kum-folklore
tom1,0.5194416749750748,kum-folklore
tom1,0.5517928286852589,kum-folklore
tom1,0.5303482587064676,kum-folklore
tom1,0.5064935064935064,kum-folklore
tom1,0.5434565434565435,kum-folklore
tom1,0.548804780876494,kum-folklore
tom1,0.5314685314685315,kum-folklore
tom1,0.5439121756487026,kum-folklore
tom1,0.5443668993020937,kum-folklore
tom1,0.5183714001986097,kum-folklore
tom1,0.5094339622641509,kum-folklore
tom1,0.55168986083499,kum-folklore
tom1,0.5278330019880716,kum-folklore
tom1,0.5386904761904762,kum-folklore
tom1,0.5588526211671613,kum-folklore
tom1,0.5009940357852882,kum-folklore
tom1,0.536779324055666,kum-folklore
tom1,0.5776892430278885,kum-folklore
tom1,0.5212660731948566,kum-folklore
tom1,0.5365612648221344,kum-folklore
tom1,0.5294117647058824,kum-folklore
tom1,0.49224806201550386,kum-folklore
tom1,0.5453639082751744,kum-folklore
tom1,0.5350444225074038,kum-folklore
tom1,0.5572139303482587,kum-folklore
tom1,0.506416584402764,kum-folklore
tom1,0.5314685314685315,kum-folklore
tom1,0.543026706231454,kum-folklore
tom1,0.5682041216879293,kum-folklore
tom1,0.5469061876247505,kum-folklore
tom1,0.5293532338308458,kum-folklore
tom1,0.5398406374501992,kum-folklore
tom1,0.5439121756487026,kum-folklore
tom1,0.5623130608175474,kum-folklore
tom1,0.5455445544554456,kum-folklore
tom1,0.502,kum-folklore
tom1,0.5562189054726369,kum-folklore
tom1,0.4950199203187251,kum-folklore
tom1,0.572,kum-folklore
tom1,0.5476892822025565,kum-folklore
tom1,0.5194805194805194,kum-folklore
tom1,0.5287698412698413,kum-folklore
tom1,0.5198807157057654,kum-folklore
tom1,0.5049407114624506,kum-folklore
tom1,0.5506958250497018,kum-folklore
tom1,0.5387673956262425,kum-folklore
tom1,0.5235294117647059,kum-folklore
tom1,0.5690335305719921,kum-folklore
tom1,0.5419161676646707,kum-folklore
tom1,0.5583250249252243,kum-folklore
tom1,0.5795228628230616,kum-folklore
tom1,0.5625,kum-folklore
tom1,0.5376984126984127,kum-folklore
tom1,0.5664335664335665,kum-folklore
tom1,0.5083415112855741,kum-folklore
tom1,0.544,kum-folklore
tom1,0.529,kum-folklore
tom1,0.541,kum-folklore
tom1,0.5009881422924901,kum-folklore
tom1,0.5570866141732284,kum-folklore
tom1,0.5380811078140455,kum-folklore
tom1,0.5588822355289421,kum-folklore
tom1,0.5383084577114428,kum-folklore
tom1,0.5489021956087824,kum-folklore
tom1,0.5710059171597633,kum-folklore
tom1,0.5387673956262425,kum-folklore
tom1,0.5212660731948566,kum-folklore
tom1,0.553,kum-folklore
tom1,0.5353938185443669,kum-folklore
tom1,0.5249500998003992,kum-folklore
tom1,0.5338645418326693,kum-folklore
tom1,0.548804780876494,kum-folklore
tom1,0.5350877192982456,kum-folklore
tom1,0.5298804780876494,kum-folklore
tom1,0.5473579262213359,kum-folklore
tom1,0.5044776119402985,kum-folklore
tom1,0.4975024975024975,kum-folklore
tom1,0.5233830845771145,kum-folklore
tom1,0.5324027916251246,kum-folklore
tom1,0.5260570304818093,kum-folklore
tom1,0.5403788634097707,kum-folklore
tom1,0.5253227408142999,kum-folklore
tom1,0.5405940594059406,kum-folklore
tom1,0.5714285714285714,kum-folklore
tom1,0.5128968253968254,kum-folklore
tom1,0.576808721506442,kum-folklore
tom1,0.5104685942173479,kum-folklore
tom1,0.5152709359605911,kum-folklore
tom1,0.5618199802176064,kum-folklore
tom1,0.5347912524850894,kum-folklore
tom1,0.5227722772277228,kum-folklore
tom1,0.5505952380952381,kum-folklore
tom1,0.564,kum-folklore
tom1,0.56071076011846,kum-folklore
tom1,0.564051638530288,kum-folklore
tom1,0.5429141716566867,kum-folklore
tom1,0.5084577114427861,kum-folklore
tom1,0.5312190287413281,kum-folklore
tom1,0.5514485514485514,kum-folklore
tom1,0.5408366533864541,kum-folklore
tom1,0.572,kum-folklore
tom1,0.552917903066271,kum-folklore
tom1,0.5432835820895522,kum-folklore
tom1,0.5396039603960396,kum-folklore
tom1,0.5114885114885115,kum-folklore
tom1,0.5590863952333665,kum-folklore
tom1,0.49461312438785504,kum-folklore
tom1,0.5373878364905285,kum-folklore
tom1,0.5283582089552239,kum-folklore
tom1,0.5557768924302788,kum-folklore
tom1,0.5166015625,kum-folklore
tom1,0.5415841584158416,kum-folklore
tom1,0.5721343873517787,kum-folklore
tom1,0.5269461077844312,kum-folklore
tom1,0.5232903865213082,kum-folklore
tom1,0.5633100697906281,kum-folklore
tom1,0.5462686567164179,kum-folklore
tom1,0.5029880478087649,kum-folklore
tom1,0.5499505440158259,kum-folklore
tom1,0.5233830845771145,kum-folklore
tom1,0.5439121756487026,kum-folklore
tom1,0.5627490039840638,kum-folklore
tom1,0.5220804710500491,kum-folklore
tom1,0.5410484668644906,kum-folklore
tom1,0.5675944333996024,kum-folklore
tom1,0.5313432835820896,kum-folklore
tom1,0.5159680638722555,kum-folklore
tom1,0.5229083665338645,kum-folklore
tom1,0.5325443786982249,kum-folklore
tom1,0.5507968127490039,kum-folklore
tom1,0.5546719681908548,kum-folklore
tom1,0.5399201596806387,kum-folklore
tom1,0.530938123752495,kum-folklore
tom1,0.5254237288135594,kum-folklore
tom1,0.5421209117938554,kum-folklore
tom1,0.5564435564435565,kum-folklore
tom1,0.560515873015873,kum-folklore
tom1,0.5169738118331717,kum-folklore
tom1,0.5358565737051793,kum-folklore
tom1,0.5284147557328016,kum-folklore
tom1,0.5588526211671613,kum-folklore
tom1,0.5361028684470821,kum-folklore
tom1,0.5204386839481555,kum-folklore
tom1,0.5482587064676617,kum-folklore
tom1,0.5456349206349206,kum-folklore
tom1,0.5146771037181996,kum-folklore
tom1,0.5279441117764471,kum-folklore
tom1,0.5475247524752476,kum-folklore
tom1,0.5386904761904762,kum-folklore
tom1,0.5411298315163529,kum-folklore
tom1,0.5464535464535465,kum-folklore
tom1,0.536318407960199,kum-folklore
tom1,0.546812749003984,kum-folklore
tom1,0.514,kum-folklore
tom1,0.5108695652173914,kum-folklore
tom1,0.5444555444555444,kum-folklore
tom1,0.506429277942631,kum-folklore
tom1,0.5566600397614314,kum-folklore
tom1,0.5237154150197628,kum-folklore
tom1,0.5587649402390438,kum-folklore
tom1,0.474,kum-folklore
tom1,0.5462686567164179,kum-folklore
tom1,0.5278884462151394,kum-folklore
tom1,0.5578842315369261,kum-folklore
tom1,0.5557768924302788,kum-folklore
tom1,0.5269461077844312,kum-folklore
tom1,0.5343283582089552,kum-folklore
tom1,0.538,kum-folklore
tom1,0.5199600798403193,kum-folklore
tom1,0.5454545454545454,kum-folklore
tom1,0.5228628230616302,kum-folklore
tom1,0.5287698412698413,kum-folklore
tom1,0.5409181636726547,kum-folklore
tom1,0.5764235764235764,kum-folklore
tom1,0.5273088381330685,kum-folklore
tom1,0.5657370517928287,kum-folklore
tom1,0.5576540755467196,kum-folklore
tom1,0.527363184079602,kum-folklore
tom1,0.48953140578265203,kum-folklore
tom1,0.517,kum-folklore
tom1,0.5357852882703777,kum-folklore
tom1,0.5204795204795205,kum-folklore
tom1,0.5448207171314741,kum-folklore
tom1,0.5445544554455446,kum-folklore
tom1,0.5134596211365903,kum-folklore
tom1,0.5014985014985015,kum-folklore
tom1,0.5371655104063429,kum-folklore
tom1,0.5508982035928144,kum-folklore
tom1,0.5293532338308458,kum-folklore
