Volume,TTR,Language
tom1,0.5014985014985015,kum-folklore
tom1,0.5276679841897233,kum-folklore
tom1,0.5345849802371542,kum-folklore
tom1,0.5811209439528023,kum-folklore
tom1,0.5374015748031497,kum-folklore
tom1,0.5351137487636004,kum-folklore
tom1,0.508,kum-folklore
tom1,0.510365251727542,kum-folklore
tom1,0.544,kum-folklore
tom1,0.5501460564751705,kum-folklore
tom1,0.5334590009425071,kum-folklore
tom1,0.5434782608695652,kum-folklore
tom1,0.525,kum-folklore
tom1,0.4930555555555556,kum-folklore
tom1,0.5403788634097707,kum-folklore
tom1,0.5434565434565435,kum-folklore
tom1,0.53,kum-folklore
tom1,0.5274177467597209,kum-folklore
tom1,0.5383084577114428,kum-folklore
tom1,0.5641272902603665,kum-folklore
tom1,0.5467196819085487,kum-folklore
tom1,0.534769833496572,kum-folklore
tom1,0.5614385614385614,kum-folklore
tom1,0.5574425574425574,kum-folklore
tom1,0.5368525896414342,kum-folklore
tom1,0.5460852329038652,kum-folklore
tom1,0.5241379310344828,kum-folklore
tom1,0.5571002979145978,kum-folklore
tom1,0.5592039800995025,kum-folklore
tom1,0.5473579262213359,kum-folklore
tom1,0.5732801595214357,kum-folklore
tom1,0.5489614243323442,kum-folklore
tom1,0.5736894164193868,kum-folklore
tom1,0.5575221238938053,kum-folklore
tom1,0.5450191570881227,kum-folklore
tom1,0.5438247011952191,kum-folklore
tom1,0.5688800792864221,kum-folklore
tom1,0.5314341846758349,kum-folklore
tom1,0.5138339920948617,kum-folklore
tom1,0.5752741774675972,kum-folklore
tom1,0.5303482587064676,kum-folklore
tom1,0.534,kum-folklore
tom1,0.5154536390827518,kum-folklore
tom1,0.5347912524850894,kum-folklore
tom1,0.5454545454545454,kum-folklore
tom1,0.5668979187314173,kum-folklore
tom1,0.5079365079365079,kum-folklore
tom1,0.5234297108673978,kum-folklore
tom1,0.53,kum-folklore
tom1,0.5627490039840638,kum-folklore
tom1,0.5411298315163529,kum-folklore
tom1,0.5094905094905094,kum-folklore
tom1,0.5292949354518371,kum-folklore
tom1,0.5526838966202783,kum-folklore
tom1,0.5764235764235764,kum-folklore
tom1,0.5109126984126984,kum-folklore
tom1,0.5144278606965174,kum-folklore
tom1,0.5216535433070866,kum-folklore
tom1,0.547808764940239,kum-folklore
tom1,0.5259481037924152,kum-folklore
tom1,0.5408866995073892,kum-folklore
tom1,0.5501489572989077,kum-folklore
tom1,0.5412935323383085,kum-folklore
tom1,0.5448207171314741,kum-folklore
tom1,0.555333998005982,kum-folklore
tom1,0.5274725274725275,kum-folklore
tom1,0.5112855740922473,kum-folklore
tom1,0.5613160518444666,kum-folklore
tom1,0.5339233038348082,kum-folklore
tom1,0.5649157581764123,kum-folklore
tom1,0.5426587301587301,kum-folklore
tom1,0.5168650793650794,kum-folklore
tom1,0.5462686567164179,kum-folklore
tom1,0.511,kum-folklore
tom1,0.52,kum-folklore
tom1,0.5411764705882353,kum-folklore
tom1,0.576271186440678,kum-folklore
tom1,0.5508982035928144,kum-folklore
tom1,0.5343968095712861,kum-folklore
tom1,0.5747011952191236,kum-folklore
tom1,0.5157170923379175,kum-folklore
tom1,0.5666003976143141,kum-folklore
tom1,0.5508982035928144,kum-folklore
tom1,0.5493519441674976,kum-folklore
tom1,0.5219123505976095,kum-folklore
tom1,0.5089463220675944,kum-folklore
tom1,0.5133795837462835,kum-folklore
tom1,0.5089463220675944,kum-folklore
tom1,0.5349753694581281,kum-folklore
tom1,0.5784215784215784,kum-folklore
tom1,0.5443786982248521,kum-folklore
tom1,0.5281342546890424,kum-folklore
tom1,0.5384615384615384,kum-folklore
tom1,0.5129740518962076,kum-folklore
tom1,0.5427435387673957,kum-folklore
tom1,0.513,kum-folklore
tom1,0.5194416749750748,kum-folklore
tom1,0.5079840319361277,kum-folklore
tom1,0.524,kum-folklore
tom1,0.5339321357285429,kum-folklore
tom2,0.6153081510934394,kum-folklore
tom2,0.5791044776119403,kum-folklore
tom2,0.5652173913043478,kum-folklore
tom2,0.5952380952380952,kum-folklore
tom2,0.5852442671984048,kum-folklore
tom2,0.5527888446215139,kum-folklore
tom2,0.5624375624375625,kum-folklore
