agx-folklore,ava-folklore,kum-folklore,rut-folklore,dar-folklore,tab-folklore,lak-folklore,lez-folklore,nog-folklore,tkr-folklore,tat-folklore,rus-folklore
0.6307385229540918,0.7000983284169124,0.6225296442687747,0.5964391691394659,0.7250996015936255,0.6898608349900597,0.6133866133866134,0.6301096709870389,0.5792079207920792,0.6055776892430279,0.5460852329038652,0.6065411298315163
0.6365441906653426,0.7080436941410129,0.643211100099108,0.6031746031746031,0.7107601184600197,0.6812749003984063,0.579940417080437,0.6199004975124378,0.6106719367588933,0.6073558648111332,0.5541338582677166,0.6457085828343313
0.5913129318854886,0.7154228855721393,0.571,0.6143856143856143,0.7151335311572701,0.6959122632103689,0.638085742771685,0.6573705179282868,0.6240079365079365,0.6560636182902585,0.5443668993020937,0.621301775147929
0.6009803921568627,0.7152777777777778,0.6329365079365079,0.6245019920318725,0.7209533267130089,0.7095808383233533,0.6258637709772952,0.6072834645669292,0.5807730426164519,0.6332007952286283,0.553,0.6208955223880597
0.654296875,0.6926147704590818,0.64746772591857,0.6261216350947159,0.6988071570576541,0.6613704071499503,0.636,0.6088669950738916,0.5920398009950248,0.5874751491053678,0.56047197640118,0.626
0.6155378486055777,0.7224975222993062,0.6213307240704501,0.6337325349301397,0.7324083250743311,0.6882470119521913,0.6055776892430279,0.6437125748502994,0.5936570862239842,0.6317365269461078,0.5621890547263682,0.6148514851485148
0.593503937007874,0.7080436941410129,0.6374501992031872,0.597,0.7081673306772909,0.6716269841269841,0.6302186878727635,0.64,0.6335650446871897,0.6483516483516484,0.5501489572989077,0.6477045908183633
0.5756972111553785,0.7125984251968503,0.644,0.5914935707220573,0.6833166833166833,0.705,0.6161515453639083,0.6113886113886113,0.5946215139442231,0.592079207920792,0.5316455696202531,0.6378109452736318
0.6072834645669292,0.7019801980198019,0.617148554336989,0.617296222664016,0.6928429423459245,0.6799601196410767,0.6457085828343313,0.638085742771685,0.5564435564435565,0.5838323353293413,0.5446428571428571,0.6411012782694199
0.6049751243781094,0.6919242273180458,0.6133076181292189,0.6881188118811881,0.6991062562065541,0.694,0.6175889328063241,0.6348258706467662,0.6119402985074627,0.6204162537165511,0.5547877591312932,0.6163021868787276
0.6084812623274162,0.67098703888335,0.6356435643564357,0.6075697211155379,0.7213930348258707,0.7279046673286991,0.6434262948207171,0.6485148514851485,0.6327345309381237,0.6600199401794616,0.5531281032770605,0.6429277942631059
0.636,0.6893106893106893,0.6245019920318725,0.6337325349301397,0.7101593625498008,0.699,0.6233766233766234,0.6216484607745779,0.554,0.6756218905472637,0.5428849902534113,0.6434262948207171
0.6293706293706294,0.69009900990099,0.625,0.6328358208955224,0.7305389221556886,0.7212787212787213,0.6273726273726273,0.6408730158730159,0.612,0.6282306163021869,0.5388446215139442,0.6159203980099502
